LU0000090123456708002MT0000000000;1.9.1;;;;LU0000090123456708002MT0000000000;3.29.0;;;;LU0000090752630500119MT0000000000;1.9.1;;;;LU0000090752630500119MT0000000000;3.29.0;;;
begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit;begin;end;code;value;unit
01.08.2016 00:00;01.08.2016 15:00;220;3.573;KWH;01.08.2016 00:00;01.08.2016 15:00;220;1.975;KAH;01.08.2016 00:00;01.08.2016 15:00;220;0.480;KWH;01.08.2016 00:00;01.08.2016 15:00;220;0.000;KAH
01.08.2016 00:15;01.08.2016 15:15;220;3.430;KWH;01.08.2016 00:15;01.08.2016 15:15;220;1.888;KAH;01.08.2016 00:15;01.08.2016 15:15;220;0.480;KWH;01.08.2016 00:15;01.08.2016 15:15;220;0.000;KAH
01.08.2016 00:30;01.08.2016 15:30;220;3.651;KWH;01.08.2016 00:30;01.08.2016 15:30;220;2.013;KAH;01.08.2016 00:30;01.08.2016 15:30;220;0.480;KWH;01.08.2016 00:30;01.08.2016 15:30;220;0.000;KAH
01.08.2016 00:45;01.08.2016 15:45;220;3.716;KWH;01.08.2016 00:45;01.08.2016 15:45;220;2.075;KAH;01.08.2016 00:45;01.08.2016 15:45;220;0.480;KWH;01.08.2016 00:45;01.08.2016 15:45;220;0.000;KAH
01.08.2016 01:00;01.08.2016 16:00;220;3.430;KWH;01.08.2016 01:00;01.08.2016 16:00;220;1.950;KAH;01.08.2016 01:00;01.08.2016 16:00;220;0.480;KWH;01.08.2016 01:00;01.08.2016 16:00;220;0.000;KAH
01.08.2016 01:15;01.08.2016 16:15;220;3.560;KWH;01.08.2016 01:15;01.08.2016 16:15;220;1.925;KAH;01.08.2016 01:15;01.08.2016 16:15;220;0.480;KWH;01.08.2016 01:15;01.08.2016 16:15;220;0.000;KAH
01.08.2016 01:30;01.08.2016 16:30;220;3.625;KWH;01.08.2016 01:30;01.08.2016 16:30;220;1.900;KAH;01.08.2016 01:30;01.08.2016 16:30;220;0.480;KWH;01.08.2016 01:30;01.08.2016 16:30;220;0.000;KAH
01.08.2016 01:45;01.08.2016 16:45;220;3.482;KWH;01.08.2016 01:45;01.08.2016 16:45;220;1.938;KAH;01.08.2016 01:45;01.08.2016 16:45;220;0.480;KWH;01.08.2016 01:45;01.08.2016 16:45;220;0.000;KAH
01.08.2016 02:00;01.08.2016 17:00;220;3.521;KWH;01.08.2016 02:00;01.08.2016 17:00;220;2.013;KAH;01.08.2016 02:00;01.08.2016 17:00;220;0.469;KWH;01.08.2016 02:00;01.08.2016 17:00;220;0.000;KAH
