LU00000604360ELEC0000000000022455;1.29.0;;;
begin;end;code;value;unit
01.10.2018 00:00;01.10.2018 00:15;220;1.176;
01.10.2018 00:15;01.10.2018 00:30;220;1.164;
01.10.2018 00:30;01.10.2018 00:45;220;1.117;
01.10.2018 00:45;01.10.2018 01:00;220;1.093;
01.10.2018 01:00;01.10.2018 01:15;220;1.070;
01.10.2018 01:15;01.10.2018 01:30;220;1.035;
01.10.2018 01:30;01.10.2018 01:45;220;1.099;
01.10.2018 01:45;01.10.2018 02:00;220;1.040;
01.10.2018 02:00;01.10.2018 02:15;220;1.058;
01.10.2018 02:15;01.10.2018 02:30;220;1.052;
01.10.2018 02:30;01.10.2018 02:45;220;1.035;
01.10.2018 02:45;01.10.2018 03:00;220;1.058;
01.10.2018 03:00;01.10.2018 03:15;220;1.035;
01.10.2018 03:15;01.10.2018 03:30;220;1.052;
01.10.2018 03:30;01.10.2018 03:45;220;1.017;
01.10.2018 03:45;01.10.2018 04:00;220;0.999;
01.10.2018 04:00;01.10.2018 04:15;220;1.017;
01.10.2018 04:15;01.10.2018 04:30;220;1.076;
01.10.2018 04:30;01.10.2018 04:45;220;1.029;
01.10.2018 04:45;01.10.2018 05:00;220;1.111;
01.10.2018 05:00;01.10.2018 05:15;220;1.052;
01.10.2018 05:15;01.10.2018 05:30;220;1.040;
01.10.2018 05:30;01.10.2018 05:45;220;1.087;
01.10.2018 05:45;01.10.2018 06:00;220;1.082;
01.10.2018 06:00;01.10.2018 06:15;220;1.164;
01.10.2018 06:15;01.10.2018 06:30;220;1.387;
01.10.2018 06:30;01.10.2018 06:45;220;1.481;
01.10.2018 06:45;01.10.2018 07:00;220;1.487;
01.10.2018 07:00;01.10.2018 07:15;220;1.417;
01.10.2018 07:15;01.10.2018 07:30;220;1.375;
01.10.2018 07:30;01.10.2018 07:45;220;1.440;
01.10.2018 07:45;01.10.2018 08:00;220;1.417;
01.10.2018 08:00;01.10.2018 08:15;220;1.516;
01.10.2018 08:15;01.10.2018 08:30;220;1.475;
01.10.2018 08:30;01.10.2018 08:45;220;1.540;
01.10.2018 08:45;01.10.2018 09:00;220;1.399;
01.10.2018 09:00;01.10.2018 09:15;220;1.352;
01.10.2018 09:15;01.10.2018 09:30;220;1.452;
01.10.2018 09:30;01.10.2018 09:45;220;1.417;
01.10.2018 09:45;01.10.2018 10:00;220;1.399;
01.10.2018 10:00;01.10.2018 10:15;220;1.334;
01.10.2018 10:15;01.10.2018 10:30;220;1.393;
01.10.2018 10:30;01.10.2018 10:45;220;1.328;
01.10.2018 10:45;01.10.2018 11:00;220;1.481;
01.10.2018 11:00;01.10.2018 11:15;220;1.534;
01.10.2018 11:15;01.10.2018 11:30;220;1.487;
01.10.2018 11:30;01.10.2018 11:45;220;1.458;
01.10.2018 11:45;01.10.2018 12:00;220;1.393;
01.10.2018 12:00;01.10.2018 12:15;220;1.481;
01.10.2018 12:15;01.10.2018 12:30;220;1.475;
01.10.2018 12:30;01.10.2018 12:45;220;1.640;
01.10.2018 12:45;01.10.2018 13:00;220;1.740;
01.10.2018 13:00;01.10.2018 13:15;220;1.658;
01.10.2018 13:15;01.10.2018 13:30;220;1.569;
01.10.2018 13:30;01.10.2018 13:45;220;1.552;
01.10.2018 13:45;01.10.2018 14:00;220;1.464;
01.10.2018 14:00;01.10.2018 14:15;220;1.505;
01.10.2018 14:15;01.10.2018 14:30;220;1.734;
01.10.2018 14:30;01.10.2018 14:45;220;1.593;
01.10.2018 14:45;01.10.2018 15:00;220;1.652;
01.10.2018 15:00;01.10.2018 15:15;220;1.658;
01.10.2018 15:15;01.10.2018 15:30;220;1.558;
01.10.2018 15:30;01.10.2018 15:45;220;1.575;
01.10.2018 15:45;01.10.2018 16:00;220;1.581;
01.10.2018 16:00;01.10.2018 16:15;220;1.675;
01.10.2018 16:15;01.10.2018 16:30;220;1.640;
01.10.2018 16:30;01.10.2018 16:45;220;1.581;
01.10.2018 16:45;01.10.2018 17:00;220;1.810;
01.10.2018 17:00;01.10.2018 17:15;220;2.028;
01.10.2018 17:15;01.10.2018 17:30;220;1.822;
01.10.2018 17:30;01.10.2018 17:45;220;1.810;
01.10.2018 17:45;01.10.2018 18:00;220;1.828;
01.10.2018 18:00;01.10.2018 18:15;220;2.104;
01.10.2018 18:15;01.10.2018 18:30;220;2.010;
01.10.2018 18:30;01.10.2018 18:45;220;1.998;
01.10.2018 18:45;01.10.2018 19:00;220;2.286;
01.10.2018 19:00;01.10.2018 19:15;220;2.292;
01.10.2018 19:15;01.10.2018 19:30;220;2.351;
01.10.2018 19:30;01.10.2018 19:45;220;2.469;
01.10.2018 19:45;01.10.2018 20:00;220;2.239;
01.10.2018 20:00;01.10.2018 20:15;220;2.375;
01.10.2018 20:15;01.10.2018 20:30;220;2.504;
01.10.2018 20:30;01.10.2018 20:45;220;2.275;
01.10.2018 20:45;01.10.2018 21:00;220;2.310;
